 mdot  qb   x     z       g     n_bursts  rate       dt         energy        peak          u_rate    u_dt      u_energy      u_peak      
 0.10  0.0  0.70  0.0075  2.26  22         5.960208   4.026705  7.098254e+39  2.643479e+38  0.134476  0.090851  2.611007e+38  2.202261e+37
 0.12  0.0  0.70  0.0075  2.26  23         7.139571   3.361546  7.181929e+39  2.406934e+38  0.145264  0.068395  1.839854e+38  1.758571e+37
 0.14  0.0  0.70  0.0075  2.26  23         8.345341   2.875856  7.223450e+39  2.262564e+38  0.108471  0.037380  1.235617e+38  1.294138e+37
 0.16  0.0  0.70  0.0075  2.26  23         9.563616   2.509511  7.261735e+39  2.218310e+38  0.089560  0.023501  1.409604e+38  1.138076e+37
 0.18  0.0  0.70  0.0075  2.26  23        10.724127   2.237944  7.325237e+39  2.158750e+38  0.119001  0.024834  1.294654e+38  9.535483e+36
 0.08  0.0  0.73  0.0075  2.26  23         4.800766   4.999202  7.078955e+39  2.447174e+38  0.193235  0.201222  2.282277e+38  2.149032e+37
 0.10  0.0  0.73  0.0075  2.26  22         5.977185   4.015268  7.235972e+39  2.268784e+38  0.121988  0.081947  1.776189e+38  1.778258e+37
 0.12  0.0  0.73  0.0075  2.26  22         7.133131   3.364581  7.345907e+39  2.106048e+38  0.086701  0.040896  1.352287e+38  1.230140e+37
 0.14  0.0  0.73  0.0075  2.26  21         8.313740   2.886787  7.413465e+39  1.993419e+38  0.147305  0.051149  1.067166e+38  8.089524e+36
 0.16  0.0  0.73  0.0075  2.26  23         9.385794   2.557056  7.540286e+39  1.986147e+38  0.150602  0.041030  1.317550e+38  6.548343e+36
 0.18  0.0  0.73  0.0075  2.26  23        10.536456   2.277806  7.586896e+39  1.940675e+38  0.104810  0.022658  1.002628e+38  4.891181e+36
 0.08  0.0  0.67  0.0025  1.86  22         3.637759   6.597469  9.246817e+39  2.975376e+38  0.220642  0.400157  4.693313e+38  2.501262e+37
 0.08  0.2  0.67  0.0025  1.86  21         4.654605   5.156184  7.190968e+39  2.223788e+38  0.218368  0.241899  3.012750e+38  2.944967e+37
 0.10  0.0  0.67  0.0025  1.86  20         4.879010   4.919031  8.713026e+39  2.590696e+38  0.226534  0.228392  4.037692e+38  2.716413e+37
 0.10  0.2  0.67  0.0025  1.86  21         6.207977   3.865994  6.824407e+39  1.979335e+38  0.270541  0.168479  2.667560e+38  2.409199e+37
 0.12  0.0  0.67  0.0025  1.86  20         5.984582   4.010305  8.575632e+39  2.580598e+38  0.203711  0.136508  2.528931e+38  1.787193e+37
 0.12  0.2  0.67  0.0025  1.86  21         7.741265   3.100268  6.635157e+39  1.829860e+38  0.255387  0.102279  2.927341e+38  2.172533e+37
 0.14  0.0  0.67  0.0025  1.86  20         7.098076   3.381198  8.475271e+39  2.383500e+38  0.184659  0.087963  2.258696e+38  2.354233e+37
 0.14  0.2  0.67  0.0025  1.86  21         9.287561   2.584101  6.493252e+39  1.704629e+38  0.277965  0.077339  2.444615e+38  2.001807e+37
 0.16  0.0  0.67  0.0025  1.86  21         8.240476   2.912453  8.381448e+39  2.375176e+38  0.223145  0.078867  2.273661e+38  1.748693e+37
 0.16  0.2  0.67  0.0025  1.86  21        10.819515   2.218214  6.411784e+39  1.642537e+38  0.223065  0.045733  1.795239e+38  1.440097e+37
 0.18  0.0  0.67  0.0025  1.86  21         9.428291   2.545530  8.270964e+39  2.237700e+38  0.176000  0.047518  2.309100e+38  1.819115e+37
 0.18  0.2  0.67  0.0025  1.86  21        12.485436   1.922240  6.275712e+39  1.545422e+38  0.198966  0.030633  1.393833e+38  9.747930e+36
 0.08  0.0  0.67  0.0050  1.86  23         4.374644   5.486161  7.473333e+39  2.502746e+38  0.214095  0.268493  2.745568e+38  3.016690e+37
 0.08  0.2  0.67  0.0050  1.86  22         5.156209   4.654583  6.392066e+39  2.155396e+38  0.229573  0.207239  3.180580e+38  2.510866e+37
 0.10  0.0  0.67  0.0050  1.86  21         5.580979   4.300321  7.480676e+39  2.443044e+38  0.133627  0.102964  2.019976e+38  2.557633e+37
 0.10  0.2  0.67  0.0050  1.86  21         6.691335   3.586728  6.247285e+39  1.898513e+38  0.247361  0.132592  2.025212e+38  2.207765e+37
